id,insuredId,status,sessionId,action,httpCode,ip,userAgent,requestData,requestReturn,createdAt,type,environmentId,device,companyIdList,companyGroupIdList,insurerIdList,companySectionIdList,insurerCodeIdList,healthcareNetworkIdList,domainIdList,subType,countryCode,city,month,sessionNumber,sequenceInSession,sessionLength,is_anomaly,anomaly_type
332e0fae-8786-4eb3-8ed7-9abd54fbe941,45551614,OK,999411,Connexion,204,86.192.71.65,mobileapp/4.3.0 (ios; build=812; locale=fr-FR),"{""login"": ""45551614"", ""channel"": ""mobile"", ""country"": ""FR""}",,2025-11-26T18:20:30.000Z,LOGGING_ACTIONS,10,MOBILE_IOS,[27013],[12003],[2],[110029],[304],[2],[11],logging_login,FR,Lille,2025-11,1,1,4,1,rapid_fire
8b55a4dc-ebde-4b71-b3ba-b2ef697620d7,45551614,KO,999411,Contactez nous : via message (Mes cotisations),500,86.192.71.65,mobileapp/4.3.0 (ios; build=812; locale=fr-FR),"{""subject"": ""Contactez nous : via message (Mes cotisations)"", ""message"": ""Question sur remboursement"", ""priority"": ""normal""}","{""status"": ""error"", ""code"": ""AUTH_FAILED""}",2025-11-26T18:20:35.000Z,CONTACT_ACTIONS,10,MOBILE_IOS,[27013],[12003],[2],[110029],[304],[2],[11],,FR,Lille,2025-11,1,2,4,1,rapid_fire
123a494b-51db-4349-ad58-d3253cb4d05d,45551614,KO,999411,Envoi carte TP par mail,400,86.192.71.65,mobileapp/4.3.0 (ios; build=812; locale=fr-FR),"{""insuredId"": ""45551614"", ""action"": ""Envoi carte TP par mail""}","{""status"": ""error"", ""code"": ""BUSINESS_RULE_REJECTED""}",2025-11-26T18:20:37.000Z,OPEN_ACTIONS,10,MOBILE_IOS,[27013],[12003],[2],[110029],[304],[2],[11],send_third_party_card_by_email,FR,Lille,2025-11,1,3,4,1,rapid_fire
471b673e-884c-4280-93af-ed293074c085,45551614,OK,999411,Déconnexion,200,86.192.71.65,mobileapp/4.3.0 (ios; build=812; locale=fr-FR),"{""login"": ""45551614"", ""channel"": ""mobile"", ""country"": ""FR""}",,2025-11-26T18:20:43.000Z,LOGGING_ACTIONS,10,MOBILE_IOS,[27013],[12003],[2],[110029],[],[2],[11],logging_logout,FR,Lille,2025-11,1,4,4,1,rapid_fire
e73627a5-e289-4cc8-ac42-b4f8d76fd04a,56138336,OK,1632210,Connexion,200,81.64.217.192,mobileapp/4.2.1 (android; sdk=34; locale=fr-FR),"{""login"": ""56138336"", ""channel"": ""mobile"", ""country"": ""FR""}","{""status"": ""success"", ""reference"": ""REF-804938""}",2025-11-25T03:44:07.000Z,LOGGING_ACTIONS,10,MOBILE_ANDROID,[27013],[12002],[2],[110029],[303],[2],[11],logging_login,FR,Bordeaux,2025-11,2,1,5,1,unusual_hour
51cfd4da-637a-4c36-9143-fca16e43ff19,56138336,OK,1632210,Validation MFA,204,81.64.217.192,mobileapp/4.2.1 (android; sdk=34; locale=fr-FR),"{""login"": ""56138336"", ""channel"": ""mobile"", ""country"": ""FR""}","{""status"": ""success"", ""reference"": ""REF-592841""}",2025-11-25T03:45:04.000Z,LOGGING_ACTIONS,10,MOBILE_ANDROID,[27013],[12002],[2],[110029],[303],[2],[11],logging_mfa_validation,FR,Bordeaux,2025-11,2,2,5,1,unusual_hour
6f7f1865-c637-4048-b222-a4cfd663b6cf,56138336,OK,1632210,"Contactez nous : via message (Mon adhésion, Autres)",202,81.64.217.192,mobileapp/4.2.1 (android; sdk=34; locale=fr-FR),"{""subject"": ""Contactez nous : via message (Mon adh\u00e9sion, Autres)"", ""message"": ""Besoin d'information"", ""priority"": ""normal""}","{""status"": ""success"", ""reference"": ""REF-192337""}",2025-11-25T03:45:34.000Z,CONTACT_ACTIONS,10,MOBILE_ANDROID,[27013],[12002],[2],[110029],[303],[2],[11],contact_message_my_membership_other,FR,Bordeaux,2025-11,2,3,5,1,unusual_hour
25ede4cc-68bd-45fe-b095-f53afb031a5f,56138336,OK,1632210,Envoi carte TP par mail,200,81.64.217.192,mobileapp/4.2.1 (android; sdk=34; locale=fr-FR),"{""insuredId"": ""56138336"", ""action"": ""Envoi carte TP par mail""}","{""status"": ""success"", ""reference"": ""REF-752878""}",2025-11-25T03:46:22.000Z,OPEN_ACTIONS,10,MOBILE_ANDROID,[27013],[12002],[2],[110029],[303],[2],[11],send_third_party_card_by_email,FR,Bordeaux,2025-11,2,4,5,1,unusual_hour
c83b4742-3429-4777-afc1-e5e2ccf6665b,56138336,KO,1632210,Déconnexion,401,81.64.217.192,mobileapp/4.2.1 (android; sdk=34; locale=fr-FR),"{""login"": ""56138336"", ""channel"": ""mobile"", ""country"": ""FR""}","{""status"": ""error"", ""code"": ""VALIDATION_ERROR""}",2025-11-25T03:46:48.000Z,LOGGING_ACTIONS,10,MOBILE_ANDROID,[27013],[],[2],[110029],[303],[],[11],logging_logout,FR,Bordeaux,2025-11,2,5,5,1,unusual_hour
1003a5b3-ca9c-420e-973c-420e907ec82e,51746937,KO,2390229,Connexion SSO,403,80.58.55.150,mobileapp/4.2.4 (ios; build=805; locale=fr-FR),"{""login"": ""51746937"", ""channel"": ""mobile"", ""country"": ""ES""}","{""status"": ""error"", ""code"": ""SERVER_ERROR""}",2025-11-25T17:57:32.000Z,LOGGING_ACTIONS,10,MOBILE_IOS,[27011],[12002],[3],[110029],[303],[2],[12],logging_login_sso,ES,Barcelona,2025-11,3,1,4,1,geo_jump
