ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-01-01,19.8380408,12.365859518438823,49.78019208884451,19.8380408,19.8380408,0.5512493942988054,0.5512493942988054,0.5512493942988054,0.15707231992715248,0.15707231992715248,0.15707231992715248,0.39417707437165295,0.39417707437165295,0.39417707437165295,0.0,0.0,0.0,30.773748775074992
2025-01-02,19.87599222994012,10.35470190008542,47.4218271001651,19.87599222994012,19.87599222994012,0.46789340242102345,0.46789340242102345,0.46789340242102345,0.10691232480031965,0.10691232480031965,0.10691232480031965,0.36098107762070386,0.36098107762070386,0.36098107762070386,0.0,0.0,0.0,29.17583786090063
2025-01-03,19.91394365988024,10.100596315630531,46.21711735146798,19.91394365988024,19.91394365988024,0.40677163254455906,0.40677163254455906,0.40677163254455906,0.07844012274154724,0.07844012274154724,0.07844012274154724,0.32833150980301185,0.32833150980301185,0.32833150980301185,0.0,0.0,0.0,28.014371032810093
2025-01-04,19.95189508982036,0.6561850035592106,36.938633045755964,19.95189508982036,19.95189508982036,-0.0665842572492121,-0.0665842572492121,-0.0665842572492121,-0.36357672441286804,-0.36357672441286804,-0.36357672441286804,0.29699246716365596,0.29699246716365596,0.29699246716365596,0.0,0.0,0.0,18.62341297455047
2025-01-05,19.98984651976048,-4.504366104790781,33.896586573347605,19.98984651976048,19.98984651976048,-0.261721801637376,-0.261721801637376,-0.261721801637376,-0.5294112982256711,-0.5294112982256711,-0.5294112982256711,0.26768949658829516,0.26768949658829516,0.26768949658829516,0.0,0.0,0.0,14.758067874154136
2025-01-06,20.0277979497006,10.936160533448037,49.23549226057302,20.0277979497006,20.0277979497006,0.5369774308761759,0.5369774308761759,0.5369774308761759,0.2958839603250584,0.2958839603250584,0.2958839603250584,0.24109347055111752,0.24109347055111752,0.24109347055111752,0.0,0.0,0.0,30.78227343883797
2025-01-07,20.065749379640717,11.000534176737341,47.5792294234974,20.065749379640717,20.065749379640717,0.4724850890280115,0.4724850890280115,0.4724850890280115,0.25467929484453383,0.25467929484453383,0.25467929484453383,0.21780579418347765,0.21780579418347765,0.21780579418347765,0.0,0.0,0.0,29.546516761694026
2025-01-08,20.103700809580836,7.006937815417803,45.587953969662074,20.103700809580836,20.103700809580836,0.3554176128246839,0.3554176128246839,0.3554176128246839,0.1570723199275485,0.1570723199275485,0.1570723199275485,0.19834529289713543,0.19834529289713543,0.19834529289713543,0.0,0.0,0.0,27.248910160263723
2025-01-09,20.14165223952096,7.628551708077372,44.2695720539832,20.14165223952096,20.14165223952096,0.2900494122949518,0.2900494122949518,0.2900494122949518,0.10691232479993372,0.10691232479993372,0.10691232479993372,0.18313708749501809,0.18313708749501809,0.18313708749501809,0.0,0.0,0.0,25.98372663424331
2025-01-10,20.179603669461077,6.496139344161284,43.95602006119036,20.179603669461077,20.179603669461077,0.25094383734232484,0.25094383734232484,0.25094383734232484,0.07844012274188053,0.07844012274188053,0.07844012274188053,0.1725037146004443,0.1725037146004443,0.1725037146004443,0.0,0.0,0.0,25.243550850322897
2025-01-11,20.217555099401196,-3.2706785212798786,36.06378811738077,20.217555099401196,20.217555099401196,-0.19691802963489596,-0.19691802963489596,-0.19691802963489596,-0.3635767244137063,-0.3635767244137063,-0.3635767244137063,0.16665869477881035,0.16665869477881035,0.16665869477881035,0.0,0.0,0.0,16.236353985192167
2025-01-12,20.255506529341318,-6.5487468649796705,30.177065646030584,20.255506529341318,20.255506529341318,-0.363708607908405,-0.363708607908405,-0.363708607908405,-0.5294112982254316,-0.5294112982254316,-0.5294112982254316,0.16570269031702667,0.16570269031702667,0.16570269031702667,0.0,0.0,0.0,12.88840444707498
2025-01-13,20.293457959188185,9.919621758662451,48.533298590009736,20.293457959188185,20.293457959188185,0.46550629111880404,0.46550629111880404,0.46550629111880404,0.2958839603254043,0.2958839603254043,0.2958839603254043,0.16962233079339975,0.16962233079339975,0.16962233079339975,0.0,0.0,0.0,29.74019030774525
2025-01-14,20.33140938903506,11.20117411350974,46.85035780425386,20.33140938903506,20.33140938903506,0.43297101378140623,0.43297101378140623,0.43297101378140623,0.2546792948441773,0.2546792948441773,0.2546792948441773,0.17829171893722892,0.17829171893722892,0.17829171893722892,0.0,0.0,0.0,29.13432032381037
2025-01-15,20.36936081888193,8.626727019627673,45.1368601788799,20.36936081888193,20.36936081888193,0.34854888343468626,0.34854888343468626,0.34854888343468626,0.15707231992730594,0.15707231992730594,0.15707231992730594,0.19147656350738035,0.19147656350738035,0.19147656350738035,0.0,0.0,0.0,27.469078788581474
2025-01-16,20.4073122487288,8.500049742985839,43.91998794900222,20.4073122487288,20.4073122487288,0.3157531464772196,0.3157531464772196,0.3157531464772196,0.10691232479948609,0.10691232479948609,0.10691232479948609,0.2088408216777335,0.2088408216777335,0.2088408216777335,0.0,0.0,0.0,26.850985302408024
2025-01-17,20.44526367857567,7.931026983809971,46.24390271877884,20.44526367857567,20.44526367857567,0.30839579507486187,0.30839579507486187,0.30839579507486187,0.07844012274066398,0.07844012274066398,0.07844012274066398,0.22995567233419792,0.22995567233419792,0.22995567233419792,0.0,0.0,0.0,26.75049702624521
2025-01-18,20.483215108422538,-0.8335577953040754,37.27521833846672,20.483215108422538,20.483215108422538,-0.1092661391074129,-0.1092661391074129,-0.1092661391074129,-0.36357672441257183,-0.36357672441257183,-0.36357672441257183,0.25431058530515893,0.25431058530515893,0.25431058530515893,0.0,0.0,0.0,18.24509327701858
2025-01-19,20.52116653826941,-3.348851337925203,34.033141071520966,20.52116653826941,20.52116653826941,-0.24808509694260344,-0.24808509694260344,-0.24808509694260344,-0.5294112982251922,-0.5294112982251922,-0.5294112982251922,0.28132620128258873,0.28132620128258873,0.28132620128258873,0.0,0.0,0.0,15.430170948247534
2025-01-20,20.55911796811628,14.904108808685018,51.557022347019924,20.55911796811628,20.55911796811628,0.6062526546320117,0.6062526546320117,0.6062526546320117,0.29588396032358066,0.29588396032358066,0.29588396032358066,0.310368694308431,0.310368694308431,0.310368694308431,0.0,0.0,0.0,33.02313781317947
2025-01-21,20.597069397963146,14.366287849845287,51.86785375926942,20.597069397963146,20.597069397963146,0.5954445491096282,0.5954445491096282,0.5954445491096282,0.25467929484382074,0.25467929484382074,0.25467929484382074,0.3407652542658074,0.3407652542658074,0.3407652542658074,0.0,0.0,0.0,32.86148209861303
2025-01-22,20.635020827810017,12.593165519669558,50.44743311617407,20.635020827810017,20.635020827810017,0.528892621599814,0.528892621599814,0.528892621599814,0.15707231992761955,0.15707231992761955,0.15707231992761955,0.3718203016721945,0.3718203016721945,0.3718203016721945,0.0,0.0,0.0,31.548731090197222
2025-01-23,20.672972256365924,11.837568263114658,50.0761826146858,20.672972256365924,20.672972256365924,0.509744356628122,0.509744356628122,0.509744356628122,0.10691232479977719,0.10691232479977719,0.10691232479977719,0.4028320318283448,0.4028320318283448,0.4028320318283448,0.0,0.0,0.0,31.21090319877819
2025-01-24,20.710923684921838,12.196098710481952,50.866695737537455,20.710923684921838,20.710923684921838,0.5115490031230988,0.5115490031230988,0.5115490031230988,0.07844012274099721,0.07844012274099721,0.07844012274099721,0.4331088803821016,0.4331088803821016,0.4331088803821016,0.0,0.0,0.0,31.30557604970218
2025-01-25,20.748875113477744,3.369361080625039,40.27141535458669,20.748875113477744,20.748875113477744,0.09840878328651594,0.09840878328651594,0.09840878328651594,-0.36357672441159067,-0.36357672441159067,-0.36357672441159067,0.4619855076981066,0.4619855076981066,0.4619855076981066,0.0,0.0,0.0,22.79074666795896
2025-01-26,20.78682654203365,1.0826789097583747,38.84936815578725,20.78682654203365,20.78682654203365,-0.040573383324985446,-0.040573383324985446,-0.040573383324985446,-0.5294112982249526,-0.5294112982249526,-0.5294112982249526,0.48883791489996714,0.48883791489996714,0.48883791489996714,0.0,0.0,0.0,19.943434660633738
2025-01-27,20.82477797058956,18.307918441116307,56.00656918933577,20.82477797058956,20.82477797058956,0.8089812899454698,0.8089812899454698,0.8089812899454698,0.2958839603239266,0.2958839603239266,0.2958839603239266,0.5130973296215432,0.5130973296215432,0.5130973296215432,0.0,0.0,0.0,37.67163371606511
2025-01-28,20.86272939914547,17.9443613457227,56.17605914968086,20.86272939914547,20.86272939914547,0.7889418285211752,0.7889418285211752,0.7889418285211752,0.25467929484399143,0.25467929484399143,0.25467929484399143,0.5342625336771838,0.5342625336771838,0.5342625336771838,0.0,0.0,0.0,37.32220927924977
2025-01-29,20.90068082770138,15.759938931510643,53.174763519738924,20.90068082770138,20.90068082770138,0.708982667026984,0.708982667026984,0.708982667026984,0.15707231992682083,0.15707231992682083,0.15707231992682083,0.5519103471001632,0.5519103471001632,0.5519103471001632,0.0,0.0,0.0,35.718901263604856
2025-01-30,20.938632256257286,17.078317370815608,52.58371754547321,20.938632256257286,20.938632256257286,0.6726163569856696,0.6726163569856696,0.6726163569856696,0.10691232480006828,0.10691232480006828,0.10691232480006828,0.5657040321856014,0.5657040321856014,0.5657040321856014,0.0,0.0,0.0,35.02229880472369
2025-01-31,20.976583684813193,15.673643974638662,51.858807639832825,20.976583684813193,20.976583684813193,0.6538395587312119,0.6538395587312119,0.6538395587312119,0.07844012274201634,0.07844012274201634,0.07844012274201634,0.5753994359891956,0.5753994359891956,0.5753994359891956,0.0,0.0,0.0,34.69190390497979
2025-02-01,21.014535113369103,7.549471172100674,43.905073743328245,21.014535113369103,21.014535113369103,0.21727202432741238,0.21727202432741238,0.21727202432741238,-0.3635767244117713,-0.3635767244117713,-0.3635767244117713,0.5808487487391837,0.5808487487391837,0.5808487487391837,0.0,0.0,0.0,25.580405697750297
2025-02-02,21.05248654192501,2.3388176417668145,40.29401070542157,21.05248654192501,21.05248654192501,0.052590519037904404,0.052590519037904404,0.052590519037904404,-0.5294112982243031,-0.5294112982243031,-0.5294112982243031,0.5820018172622075,0.5820018172622075,0.5820018172622075,0.0,0.0,0.0,22.159647736203343
2025-02-03,21.0904379626134,20.863640112619674,57.71325807380775,21.0904379626134,21.0904379626134,0.8747889755220538,0.8747889755220538,0.8747889755220538,0.2958839603243538,0.2958839603243538,0.2958839603243538,0.5789050151977,0.5789050151977,0.5789050151977,0.0,0.0,0.0,39.540120581239414
2025-02-04,21.128389383301787,18.611031422780997,57.379568320821456,21.128389383301787,21.128389383301787,0.8263770286995196,0.8263770286995196,0.8263770286995196,0.25467929484447716,0.25467929484447716,0.25467929484447716,0.5716977338550424,0.5716977338550424,0.5716977338550424,0.0,0.0,0.0,38.588405023081194
